0.000000 5.0
1.000000 20.0
2.000000 20.0
3.000000 17.0
4.000000 17.0
5.000000 16.0
6.000000 16.0
7.000000 14.0
8.000000 17.0
9.000000 16.0
10.000000 17.0
11.000000 19.0
12.000000 19.0
13.000000 19.0
14.000000 20.0
15.000000 17.0
16.000000 20.0
17.000000 20.0
18.000000 20.0
19.000000 20.0
20.000000 20.0
21.000000 18.0
22.000000 18.0
23.000000 20.0
24.000000 19.0
25.000000 17.0
26.000000 16.0
27.000000 9.0
28.000000 11.0
29.000000 16.0
30.000000 15.0
31.000000 15.0
32.000000 9.0
33.000000 9.0
34.000000 13.0
35.000000 16.0
36.000000 15.0
37.000000 15.0
38.000000 15.0
39.000000 14.0
40.000000 10.0
41.000000 15.0
42.000000 14.0
43.000000 15.0
44.000000 19.0
45.000000 19.0
46.000000 19.0
47.000000 16.0
48.000000 20.0
49.000000 19.0
50.000000 17.0
51.000000 17.0
52.000000 16.0
53.000000 15.0
54.000000 18.0
55.000000 14.0
56.000000 14.0
57.000000 18.0
58.000000 16.0
59.000000 18.0
60.000000 18.0
61.000000 20.0
62.000000 17.0
63.000000 16.0
64.000000 13.0
65.000000 14.0
66.000000 8.0
67.000000 14.0
68.000000 15.0
69.000000 19.0
70.000000 20.0
71.000000 20.0
72.000000 20.0
73.000000 20.0
74.000000 19.0
75.000000 16.0
76.000000 16.0
77.000000 16.0
78.000000 18.0
79.000000 16.0
80.000000 20.0
81.000000 19.0
82.000000 18.0
83.000000 17.0
84.000000 19.0
85.000000 20.0
86.000000 19.0
87.000000 19.0
88.000000 19.0
89.000000 19.0
90.000000 18.0
91.000000 20.0
92.000000 18.0
93.000000 19.0
94.000000 18.0
95.000000 20.0
96.000000 20.0
97.000000 20.0
98.000000 20.0
99.000000 20.0
100.000000 18.0
